Incident Date,Complaint ID,Date Received,District,Classification,Summary
6/26/18,18-0332,2018-07-13 04:00:00+00,2,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 6-26-18 at 3:30pm, they were treated unprofessionally and their home was illegally searched by officers assigned to the 2nd District."
7/4/18,18-0333,2018-07-13 04:00:00+00,2,VERBAL ABUSE,"According to the complainant, on 7-4-18 at 9:45pm, they did not receive proper service and were verbally abused by officers assigned to the 2nd District."
10/24/19,19-0567,2019-11-01 04:00:00+00,2,PHYSICAL ABUSE,"According to the complainant, on 10-24-19 at 6:00 PM, they were physically abused and had their property damaged by officers assigned to the 2nd District."
,20-0200,2020-05-13 04:00:00+00,2,HARASSMENT,"According to the complainant, on several dates, they have been threatened, harassed and departmental policies have been violated by an officer assigned to the 14th District."
4/28/20,20-0184,2020-05-13 04:00:00+00,2,HARASSMENT,"According to the complainant, on 4-28-20 at 9:30 AM, they were harassed by officers while in the confines of the 2nd District."
5/3/20,20-0204,2020-05-18 04:00:00+00,2,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 5-3-20 at 10:59 AM, departmental policy was violated by an officer in the confines of the 2nd District."
2/26/19,19-0080,2019-03-01 05:00:00+00,2,LACK OF SERVICE,"According to the complainant, on 2-26-19 at 3:30pm, they did not receive proper service from officers assigned to the 2nd District."
7/26/20,20-0397,2020-07-28 04:00:00+00,2,LACK OF SERVICE,"According to the complainant, on 7-26-20 at 1:15 PM, they did not receive proper service from an unknown 2nd District supervisor."
,20-0410,2020-08-06 04:00:00+00,2,LACK OF SERVICE,"According to the complainant, they observed other people not receive proper service from an unknown supervisor and several officers."
5/27/20,20-0412,2020-08-06 04:00:00+00,2,LACK OF SERVICE,"According to the complainant, on 5-27-20 at 11:00 AM, they did not receive proper service from officers while in the confines of the 2nd District."
,21-0072,2021-02-17 05:00:00+00,2,UNPROFESSIONAL CONDUCT,"The complainant states a 2nd District officer violated departmental policies and acted unprofessionally while in the confines of the 2nd District. The officer was at their residence to serve a family member with court paperwork. While there, the officer told the complainant that they were a nuisance. The complainant also states in 2019, the officer transported them to a police facility. While the officer was driving, the officer browsed through their cell phone. On another occasion, the complainant, noticed the officer inside of an establishment not wearing a face covering."
5/19/20,20-0219,2020-05-21 04:00:00+00,2,CRIMINAL ALLEGATION,"According to the complainant, on 5-19-20, they were physically abused and have missing property by officers while in the confines of the 2nd District."
5/13/20,20-0220,2020-05-21 04:00:00+00,2,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 5-13-20 at 7:55 AM, they observed an officer operating a Highway Patrol motorcycle recklessly while in the confines of Bucks County."
6/1/20,20-0238,2020-06-03 04:00:00+00,2,CRIMINAL ALLEGATION,"According to the complainant, on 6-1-20, they observed an officer assisting an individual in criminal activity."
3/14/19,19-0114,2019-03-19 04:00:00+00,2,HARASSMENT,"According to the complainant, on 3-14-19 at 4:39 PM, an off-duty officer harassed the complainant¿s minor child via text messages."
8/13/20,20-0419,2020-08-14 04:00:00+00,2,LACK OF SERVICE,"According to the complainant, on 8-13-20 at 12:35 AM, they did not receive proper service from a police supervisor assigned to the 2nd District and a detective assigned to the Northeast Detective Division."
8/19/20,20-0435,2020-08-20 04:00:00+00,2,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 8-19-20 at 6:00 AM, they are missing money after a search of their residence was done by unknown officers within the confines of the 2nd District."
3/16/19,19-0120,2019-03-21 04:00:00+00,2,NON-INVESTIGATORY INCIDENT,"According to the complainant, on 3-16-19, they did not receive proper service and were falsely arrested by an officer assigned to the 2nd District."
,19-0135,2019-04-02 04:00:00+00,2,FALSIFICATION,"According to the complainant, in May of 2012, their reinstatement into the Philadelphia Police Department was rejected due to false statements used in an arbitration hearing by a detective and sergeant. This incident occurred within the confines of the 2nd District."
4/4/19,19-0143,2019-04-09 04:00:00+00,2,NON-INVESTIGATORY INCIDENT,"According to the complainant, on 4-4-19 at 5:00 PM, they did not receive proper service from an unknown 2nd District Officer."
9/2/20,20-0465,2020-09-03 04:00:00+00,2,PHYSICAL ABUSE,"According to the complainant, on 9-2-20 at 4:00 PM, they were physically abused and did not receive proper service from an officer while in the confines of the 2nd District."
6/1/20,20-0476,2020-09-15 04:00:00+00,2,DEPARTMENTAL VIOLATIONS,"According to the complainant, since 6-1-20, an off-duty sergeant abused their police powers while in the confines of the 2nd District."
5/30/20,20-0283,2020-06-17 04:00:00+00,2,VERBAL ABUSE,"According to the complainant, on 5-30-20, they did not receive proper service and were verbally abused by an officer assigned to the 2nd District."
4/4/19,19-0161,2019-04-15 04:00:00+00,2,CIVIL RIGHTS COMPLAINT,"According to the complainant, on 4-4-19 at 12:02 PM, they were racially profiled and improperly stopped by officers assigned to the 2nd District."
4/11/19,19-0175,2019-04-23 04:00:00+00,2,LACK OF SERVICE,"According to the complainant, on 4-11-19, they did not receive proper service from officers assigned to the 2nd District."
9/18/20,20-0487,2020-09-23 04:00:00+00,2,CIVIL RIGHTS COMPLAINT,"According to the complainant, on 9-18-20 at 8:21 AM, they were treated unprofessionally and racially profiled by a 15th District officer while in the confines of the 2nd District."
3/3/21,21-0104,2021-03-09 05:00:00+00,2,FALSIFICATION,"On 3-3-21 at 2:20 AM, while in the confines of the 2nd District, a lieutenant violated the complainant¿s civil rights, in retaliation for an article written about them. The lieutenant forced the complainant under duress, to give them the passcode to their phone, so that they could view the video taken; this was done without a search warrant. The complainant further states that a lieutenant and two detectives obtained a search warrant the next day, knowing that the lieutenant and officer had already tampered with evidence, causing the complainant to be falsely arrested."
3/2/21,21-0105,2021-03-09 05:00:00+00,2,FALSIFICATION,"On 3-2-21 at 4:00 PM, the complainant¿s ATV was improperly confiscated. The complainant states that the officers made false statements in reference to where the ATV was taken; it was parked at the side of the house, near the garage, not on the highway as stated on the ticket. The complainant showed the officers the paperwork they requested but the ATV was still taken. The officers racially discriminated against the complainant who speaks another language and has an accent."
6/12/20,20-0343,2020-07-01 04:00:00+00,2,VERBAL ABUSE,"According to the complainant, on 6-12-20 at 4:00 PM, they did not receive proper service and were verbally abused by officers assigned to the 2nd District."
3/23/19,19-0197,2019-05-02 04:00:00+00,2,UNPROFESSIONAL CONDUCT,"According to the complainant, on 3-23-19 at 7:40 PM, they were treated unprofessionally by officers assigned to the 2nd District."
5/8/19,19-0215,2019-05-14 04:00:00+00,2,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 5-8-19 at 4:00 PM, an officer assigned to the 2nd District did not follow proper police procedure."
10/1/20,20-0514,2020-10-05 04:00:00+00,2,UNPROFESSIONAL CONDUCT,"According to the complainant, on 10-1-20 at 10:30 AM, they were treated unprofessionally by an officer and they did not receive proper service from a sergeant while in the confines of the 2nd District."
10/4/20,20-0517,2020-10-06 04:00:00+00,2,FALSIFICATION,"According to the complainant, on 10-4-20 at 12:26 PM, they were improperly ticketed by an officer while in the confines of the 2nd District."
10/15/20,20-0556,2020-10-27 04:00:00+00,2,LACK OF SERVICE,"According to the complainant, on 10-15-20, they did not receive proper service from an officer assigned to the 2nd District."
7/20/18,18-0361,2018-07-27 04:00:00+00,2,UNPROFESSIONAL CONDUCT,"According to the complainant, on 7-20-18, an officer assigned to the 2nd District was rude to them."
8/4/18,18-0388,2018-08-08 04:00:00+00,2,UNPROFESSIONAL CONDUCT,"According to the complainant, on 8-4-18 at 11:40am, they did not receive proper service from officers assigned to the 2nd District."
10/15/20,20-0576,2020-11-10 05:00:00+00,2,UNPROFESSIONAL CONDUCT,"According to the complainant, on 10-15-20 at 4:00 PM, they were involved in a verbal dispute with an officer. The complainant states that when they requested the officers badge number they were told, ¿My badge number is suck my d*ck!¿"
10/16/20,20-0578,2020-11-13 05:00:00+00,2,LACK OF SERVICE,"According to the complainant, on 10-16-20 at 12:37 PM, officers refused to issue an individual with a citation and instead informed that individual to sue the complainant."
11/11/20,20-0580,2020-11-12 05:00:00+00,2,VERBAL ABUSE,"According to the complainant, on 11-11-20 at 11:55 AM, they were stopped by police, who then bullied and did not allow them to speak. The complainant also states one of the officers refused to provide their badge number."
,19-0584,2019-11-06 05:00:00+00,2,CIVIL RIGHTS COMPLAINT,"According to the complainant, on an unknown date and time, their civil rights were violated and they did not receive proper service from officers while in the confines of the 2nd District."
,19-0587,2019-11-22 05:00:00+00,2,NON-INVESTIGATORY INCIDENT,"According to the complainant, on an unknown date, time, and location, an officer assigned to the office of Professional Responsibility provided false and misleading testimony during a court proceeding."
